2026-08-28T21:39:20.900392+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.2ms) | 1.1.1.1 (53.4ms) | 9.9.9.9 (51.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:22.998862+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.8ms) | 1.1.1.1 (60.7ms) | 9.9.9.9 (60.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:25.096300+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.2ms) | 1.1.1.1 (55.7ms) | 9.9.9.9 (53.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:27.193153+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.1ms) | 1.1.1.1 (59.9ms) | 9.9.9.9 (60.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:29.290826+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.9ms) | 1.1.1.1 (57.4ms) | 9.9.9.9 (57.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:31.388599+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.1ms) | 1.1.1.1 (55.0ms) | 9.9.9.9 (54.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:33.484329+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.1ms) | 1.1.1.1 (52.8ms) | 9.9.9.9 (52.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:35.582922+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.4ms) | 1.1.1.1 (61.4ms) | 9.9.9.9 (62.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:37.679109+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.5ms) | 1.1.1.1 (54.9ms) | 9.9.9.9 (54.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:39.775744+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (23.5ms) | 1.1.1.1 (24.9ms) | 9.9.9.9 (25.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:41.872291+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.3ms) | 1.1.1.1 (60.8ms) | 9.9.9.9 (60.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:43.971396+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (63.6ms) | 1.1.1.1 (62.7ms) | 9.9.9.9 (64.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:46.070330+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.6ms) | 1.1.1.1 (62.2ms) | 9.9.9.9 (62.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:48.164406+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (52.8ms) | 1.1.1.1 (52.9ms) | 9.9.9.9 (52.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:50.261589+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.1ms) | 1.1.1.1 (61.2ms) | 9.9.9.9 (61.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:52.358067+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.7ms) | 1.1.1.1 (54.6ms) | 9.9.9.9 (54.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:54.458552+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.9ms) | 1.1.1.1 (56.5ms) | 9.9.9.9 (57.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:56.552930+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.5ms) | 1.1.1.1 (53.6ms) | 9.9.9.9 (53.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:58.651149+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.8ms) | 1.1.1.1 (59.2ms) | 9.9.9.9 (59.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +3.0ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:00.748168+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (19.3ms) | 1.1.1.1 (23.0ms) | 9.9.9.9 (21.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:02.844598+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.3ms) | 1.1.1.1 (54.8ms) | 9.9.9.9 (54.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:04.943619+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (76.9ms) | 1.1.1.1 (76.6ms) | 9.9.9.9 (78.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:07.038892+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (65.4ms) | 1.1.1.1 (65.1ms) | 9.9.9.9 (66.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:09.136104+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.4ms) | 1.1.1.1 (55.9ms) | 9.9.9.9 (56.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:11.233040+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.9ms) | 1.1.1.1 (55.5ms) | 9.9.9.9 (54.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:13.340300+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.3ms) | 1.1.1.1 (65.4ms) | 9.9.9.9 (54.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:15.429158+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (48.8ms) | 1.1.1.1 (47.7ms) | 9.9.9.9 (47.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:40:17.523896+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.8ms) | 1.1.1.1 (61.0ms) | 9.9.9.9 (59.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.9ms | -0.4ms | +0.0% | WARN
