2026-08-29T00:24:34.483756+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.5ms) | 1.1.1.1 (10.7ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.6ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:37.540915+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.4ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (9.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.6ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:40.596865+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.2ms) | 1.1.1.1 (9.2ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:43.657250+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.8ms) | 1.1.1.1 (9.6ms) | 9.9.9.9 (11.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:46.748309+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (40.7ms) | 1.1.1.1 (40.9ms) | 9.9.9.9 (42.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:49.886971+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.2ms) | 1.1.1.1 (100.6ms) | 9.9.9.9 (98.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:52.029402+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.1ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (97.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:55.132210+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (59.7ms) | 1.1.1.1 (57.8ms) | 9.9.9.9 (57.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.6ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:57.271421+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.8ms) | 1.1.1.1 (9.1ms) | 9.9.9.9 (99.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.6ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:00.426130+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (26.8ms) | 1.1.1.1 (25.0ms) | 9.9.9.9 (22.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.6ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:03.526809+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (61.9ms) | 1.1.1.1 (62.7ms) | 9.9.9.9 (63.9ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.6ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:06.670629+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (87.4ms) | 1.1.1.1 (88.1ms) | 9.9.9.9 (88.3ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.6ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:09.808114+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.0ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (99.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.9ms | +89.0ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:11.953427+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.9ms) | 1.1.1.1 (9.5ms) | 9.9.9.9 (101.7ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.9ms | +89.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:15.056175+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (56.1ms) | 1.1.1.1 (54.7ms) | 9.9.9.9 (53.0ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.9ms | +89.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:18.203032+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (95.2ms) | 1.1.1.1 (96.4ms) | 9.9.9.9 (95.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.9ms | +89.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:21.342401+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.9ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (98.9ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.1ms | +90.0ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:24.490548+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.5ms) | 1.1.1.1 (10.8ms) | 9.9.9.9 (104.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:27.536530+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.5ms) | 1.1.1.1 (9.7ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:30.671178+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.0ms) | 1.1.1.1 (9.1ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:33.715903+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.2ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (10.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:36.774719+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.9ms) | 1.1.1.1 (10.7ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:39.833766+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.9ms) | 1.1.1.1 (10.6ms) | 9.9.9.9 (12.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:42.888441+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.3ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:45.989499+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (52.9ms) | 1.1.1.1 (52.6ms) | 9.9.9.9 (52.0ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.2ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:49.133023+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.1ms) | 1.1.1.1 (94.7ms) | 9.9.9.9 (94.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.1ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:51.177232+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.7ms) | 1.1.1.1 (9.5ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.1ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:54.235099+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.4ms) | 1.1.1.1 (7.8ms) | 9.9.9.9 (13.3ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.2ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:25:57.291478+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.5ms) | 1.1.1.1 (8.4ms) | 9.9.9.9 (10.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.2ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:00.410321+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.4ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (11.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:03.461142+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.1ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:06.515580+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.5ms) | 1.1.1.1 (9.1ms) | 9.9.9.9 (11.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:09.582634+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (19.8ms) | 1.1.1.1 (19.4ms) | 9.9.9.9 (17.9ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.3ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:12.726819+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.1ms) | 1.1.1.1 (100.8ms) | 9.9.9.9 (98.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.2ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:15.874115+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.0ms) | 1.1.1.1 (100.4ms) | 9.9.9.9 (98.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.2ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:19.018461+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (95.0ms) | 1.1.1.1 (92.7ms) | 9.9.9.9 (91.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.1ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:22.068799+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.3ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (11.0ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.1ms | +90.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:26:24.116725+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.1ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (10.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +1.0ms | +90.3ms | +0.2ms | +0.0% | WARN
