2026-08-28T21:13:22.697352+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.3ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (14.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +7.6ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:24.753151+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.4ms) | 1.1.1.1 (8.0ms) | 9.9.9.9 (9.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +7.4ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:27.819758+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (20.0ms) | 1.1.1.1 (16.6ms) | 9.9.9.9 (14.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +7.3ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:30.905734+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.4ms) | 1.1.1.1 (10.6ms) | 9.9.9.9 (37.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +20.3ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:33.967146+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.1ms) | 1.1.1.1 (8.4ms) | 9.9.9.9 (13.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +19.4ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:37.024818+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.4ms) | 1.1.1.1 (11.7ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +18.6ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:40.084819+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.4ms) | 1.1.1.1 (8.7ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +17.7ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:43.141283+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.6ms) | 1.1.1.1 (13.6ms) | 9.9.9.9 (10.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +16.8ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:46.268446+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.3ms) | 1.1.1.1 (9.3ms) | 9.9.9.9 (11.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +15.9ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:49.396867+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.6ms) | 1.1.1.1 (7.5ms) | 9.9.9.9 (9.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.8ms | +15.0ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:52.456063+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.9ms) | 1.1.1.1 (11.9ms) | 9.9.9.9 (12.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +14.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:55.512825+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.1ms) | 1.1.1.1 (11.1ms) | 9.9.9.9 (11.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +13.3ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:58.572427+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.0ms) | 1.1.1.1 (12.7ms) | 9.9.9.9 (24.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +14.9ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:00.646765+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.2ms) | 1.1.1.1 (7.7ms) | 9.9.9.9 (10.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.8ms | +14.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:02.700455+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.5ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (9.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.1ms | +13.5ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:04.756566+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.1ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (10.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.4ms | +12.7ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:07.815131+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.3ms) | 1.1.1.1 (10.8ms) | 9.9.9.9 (10.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.1ms | +12.0ms | +0.3ms | +0.0% | WARN
2026-08-28T21:14:09.880956+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.6ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (9.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +11.3ms | +0.3ms | +0.0% | WARN
