2026-08-28T18:05:51.991917+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.8ms) | 1.1.1.1 (11.3ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +16.5ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:55.124695+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.5ms) | 1.1.1.1 (11.8ms) | 9.9.9.9 (10.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +16.0ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:58.251747+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (13.6ms) | 1.1.1.1 (12.9ms) | 9.9.9.9 (79.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +24.3ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:01.312415+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.0ms) | 1.1.1.1 (13.9ms) | 9.9.9.9 (11.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +24.0ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:04.350830+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.7ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +23.7ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:07.411452+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.0ms) | 1.1.1.1 (15.8ms) | 9.9.9.9 (13.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +23.5ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:10.456958+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.9ms) | 1.1.1.1 (10.2ms) | 9.9.9.9 (13.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +23.2ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:13.545361+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (17.3ms) | 1.1.1.1 (14.5ms) | 9.9.9.9 (24.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +22.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:16.588699+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.1ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (9.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +22.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:18.635175+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.3ms) | 1.1.1.1 (7.5ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +22.3ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:20.690440+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.3ms) | 1.1.1.1 (8.2ms) | 9.9.9.9 (8.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +21.8ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:23.820223+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.3ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (8.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +21.8ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:26.882343+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.3ms) | 1.1.1.1 (11.2ms) | 9.9.9.9 (12.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +21.8ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:29.940846+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.5ms) | 1.1.1.1 (10.8ms) | 9.9.9.9 (9.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:33.005217+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.0ms) | 1.1.1.1 (18.0ms) | 9.9.9.9 (15.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:36.048228+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.0ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:38.104696+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.8ms) | 1.1.1.1 (8.9ms) | 9.9.9.9 (10.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:41.160766+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.9ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (9.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:44.218679+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.8ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (10.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:47.279722+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (14.8ms) | 1.1.1.1 (13.0ms) | 9.9.9.9 (15.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:50.328751+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.9ms) | 1.1.1.1 (7.6ms) | 9.9.9.9 (10.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:53.468783+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.4ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (9.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:56.529401+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.3ms) | 1.1.1.1 (14.6ms) | 9.9.9.9 (12.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:06:59.582856+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.9ms) | 1.1.1.1 (10.4ms) | 9.9.9.9 (9.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:02.627549+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (3.8ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (10.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:05.684855+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.0ms) | 1.1.1.1 (7.7ms) | 9.9.9.9 (10.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +9.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:07.757014+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.6ms) | 1.1.1.1 (13.8ms) | 9.9.9.9 (26.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:10.815708+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.6ms) | 1.1.1.1 (10.5ms) | 9.9.9.9 (9.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:13.878962+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (14.8ms) | 1.1.1.1 (11.6ms) | 9.9.9.9 (10.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:16.940339+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.6ms) | 1.1.1.1 (10.9ms) | 9.9.9.9 (11.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +11.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:07:20.000013+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.7ms) | 1.1.1.1 (10.4ms) | 9.9.9.9 (8.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +9.9ms | +0.8ms | +0.0% | OK
