2026-08-28T21:32:59.220744+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.4ms) | 1.1.1.1 (55.9ms) | 9.9.9.9 (53.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.9ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:01.321417+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.0ms) | 1.1.1.1 (55.3ms) | 9.9.9.9 (56.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:03.417542+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.7ms) | 1.1.1.1 (55.2ms) | 9.9.9.9 (53.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.9ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:05.514010+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (72.7ms) | 1.1.1.1 (72.1ms) | 9.9.9.9 (72.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:07.614490+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.1ms) | 1.1.1.1 (58.3ms) | 9.9.9.9 (56.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +1.9ms | -0.2ms | +0.0% | OK
2026-08-28T21:33:09.710238+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (67.8ms) | 1.1.1.1 (67.1ms) | 9.9.9.9 (68.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:11.805770+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.3ms) | 1.1.1.1 (57.4ms) | 9.9.9.9 (57.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:13.903453+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (10.5ms) | 1.1.1.1 (11.5ms) | 9.9.9.9 (13.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:15.999682+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.9ms) | 1.1.1.1 (60.7ms) | 9.9.9.9 (60.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
2026-08-28T21:33:18.097582+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.8ms) | 1.1.1.1 (56.1ms) | 9.9.9.9 (56.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +1.9ms | -0.2ms | +0.0% | WARN
